masterId,style,category,season,gender,subCategory,productName,shortDescription,productCharacteristics,price,colors,images,pUrl,modelName
I20931C00037595FE,I20931C00037595FE999,outerwear,cont,women,long coat/car coat,Hirmafur Long Down Jacket,"Luxury meets warmth in the Hirmafur down coat from the women's collection. The long down jacket is crafted from longue saison, a nylon fabric notable for providing supreme warmth while maintaining a light weight. The puffer coat is finished with a tactile shearling trim, easily detached to accommodate the weather and your mood.",Crafted from longue saison; Longue saison lining; Down-filled; Detachable shearling collar; Adjustable hood; Zip and snap button closure; Pockets with zip and snap button closure; Waistband with drawstring fastening; ,"$3,300.00",Black,https://moncler-cdn.thron.com/delivery/public/image/moncler/I20931C00037595FE999_X/dpx6uv/std/0x0/I20931C00037595FE999_X.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/I20931C00037595FE999_F/dpx6uv/std/0x0/I20931C00037595FE999_F.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/I20931C00037595FE999_R/dpx6uv/std/0x0/I20931C00037595FE999_R.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/I20931C00037595FE999_E/dpx6uv/std/0x0/I20931C00037595FE999_E.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/I20931C00037595FE999_D/dpx6uv/std/0x0/I20931C00037595FE999_D.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/I20931C00037595FE999_A/dpx6uv/std/0x0/I20931C00037595FE999_A.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/I20931C00037595FE999_B/dpx6uv/std/0x0/I20931C00037595FE999_B.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/I20931C00037595FE999_G/dpx6uv/std/0x0/I20931C00037595FE999_G.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/I20931C00037595FE999_H/dpx6uv/std/0x0/I20931C00037595FE999_H.jpg,/en-us/women/outerwear/long-down-jackets/hirmafur-long-down-jacket-black-I20931C00037595FE999.html,Hirmafur
J10931A1010053048,J10931A1010053048999,outerwear,cont,women,jackets,Lans Short Down Jacket,"Designed to transcend seasons and trends, the Lans down jacket comes in a streamlined silhouette. Crafted from nylon léger, the short puffer plays with geometry: having the classic boudin quilting enlivened with patch pockets. Profoundly practical, the lightweight warmer is easily packable.",Crafted from nylon léger; Nylon léger lining; Down-filled; Packable; Stand collar with snap button closure; Zipper closure; Patch pockets with snap button closure; Felt logo patch; ,"$1,150.00",Black,https://moncler-cdn.thron.com/delivery/public/image/moncler/J10931A1010053048999_X/dpx6uv/std/0x0/J10931A1010053048999_X.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10931A1010053048999_F/dpx6uv/std/0x0/J10931A1010053048999_F.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10931A1010053048999_R/dpx6uv/std/0x0/J10931A1010053048999_R.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10931A1010053048999_E/dpx6uv/std/0x0/J10931A1010053048999_E.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10931A1010053048999_D/dpx6uv/std/0x0/J10931A1010053048999_D.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10931A1010053048999_A/dpx6uv/std/0x0/J10931A1010053048999_A.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10931A1010053048999_B/dpx6uv/std/0x0/J10931A1010053048999_B.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10931A1010053048999_G/dpx6uv/std/0x0/J10931A1010053048999_G.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10931A1010053048999_H/dpx6uv/std/0x0/J10931A1010053048999_H.jpg,/en-us/women/outerwear/short-down-jackets/lans-short-down-jacket-black-J10931A1010053048999.html,Lans Short Down Jacket
J10911A0009054155,J10911A0009054155743,outerwear,cont,men,jackets,Grimpeurs Hooded Jacket,"Inspired by the world of boating, the Grimpeurs hooded jacket is crafted from water-repellent nylon. Featuring a nautical color palette, the jacket is embellished with a tricolor ribbon along the hood, in a nod to Moncler's heritage.",Crafted from nylon technique; Adjustable hood with drawstring fastening; Zipper closure; Pockets with snap button closure; Adjustable cuffs with snap button closure; Tricolor band detailing on the hood; Logo patch; ,$895.00,Dark Blue,https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A0009054155743_X/dpx6uv/std/0x0/J10911A0009054155743_X.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A0009054155743_F/dpx6uv/std/0x0/J10911A0009054155743_F.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A0009054155743_R/dpx6uv/std/0x0/J10911A0009054155743_R.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A0009054155743_E/dpx6uv/std/0x0/J10911A0009054155743_E.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A0009054155743_D/dpx6uv/std/0x0/J10911A0009054155743_D.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A0009054155743_A/dpx6uv/std/0x0/J10911A0009054155743_A.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A0009054155743_B/dpx6uv/std/0x0/J10911A0009054155743_B.jpg,/en-us/men/outerwear/windbreakers-and-raincoats/grimpeurs-hooded-jacket-dark-blue-J10911A0009054155743.html,Grimpeurs Hooded Jacket
I20931A0014268950,I20931A0014268950999,outerwear,cont,women,jackets,Maire Short Down Jacket,The Maire is an iconic Moncler womenswear piece. This down jacket features comfortable lines and is crafted in resistant nylon laqué. The short puffer jacket showcases a timeless design with a detachable hood and high-performance elements that guarantee comfort and warmth.,Crafted from nylon laqué; Nylon laqué lining; Down-filled; Detachable hood with snap buttons; Zipper closure; Zipped pockets; Adjustable snap button cuffs; ,"$1,995.00",Black,https://moncler-cdn.thron.com/delivery/public/image/moncler/I20931A0014268950999_X/dpx6uv/std/0x0/I20931A0014268950999_X.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/I20931A0014268950999_F/dpx6uv/std/0x0/I20931A0014268950999_F.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/I20931A0014268950999_R/dpx6uv/std/0x0/I20931A0014268950999_R.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/I20931A0014268950999_E/dpx6uv/std/0x0/I20931A0014268950999_E.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/I20931A0014268950999_D/dpx6uv/std/0x0/I20931A0014268950999_D.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/I20931A0014268950999_A/dpx6uv/std/0x0/I20931A0014268950999_A.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/I20931A0014268950999_B/dpx6uv/std/0x0/I20931A0014268950999_B.jpg,/en-us/women/outerwear/short-down-jackets/maire-short-down-jacket-black-I20931A0014268950999.html,Maire
J10911A00139549SK,J10911A00139549SK999,outerwear,ss24,men,gilet,Lechtal Down Vest,"A hard-working wardrobe addition, the Lechtal down vest is crafted from a lightweight nylon fabric notable for its durability and water-repellency. The practical puffer vest layers perfectly over workwear or under coats when temperatures drop.",Crafted from lightweight micro chic; Lightweight micro chic lining; Down-filled; Zipper closure; Zipped pockets; Leather logo patch; ,$950.00,Black,https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A00139549SK999_X/dpx6uv/std/0x0/J10911A00139549SK999_X.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A00139549SK999_F/dpx6uv/std/0x0/J10911A00139549SK999_F.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A00139549SK999_R/dpx6uv/std/0x0/J10911A00139549SK999_R.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A00139549SK999_E/dpx6uv/std/0x0/J10911A00139549SK999_E.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A00139549SK999_D/dpx6uv/std/0x0/J10911A00139549SK999_D.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A00139549SK999_A/dpx6uv/std/0x0/J10911A00139549SK999_A.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A00139549SK999_B/dpx6uv/std/0x0/J10911A00139549SK999_B.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A00139549SK999_G/dpx6uv/std/0x0/J10911A00139549SK999_G.jpg,/en-us/men/outerwear/vests/lechtal-down-vest-black-J10911A00139549SK999.html,Lechtal Down Vest
J10931C00018539YH,J10931C00018539YH999,outerwear,cont,women,long coat/car coat,Hiengu Rain Coat,"Inspired by ‘70s workwear, the Hiengu rain coat mixes a classic silhouette with functional details. The hooded coat is crafted from rainwear, a very compact nylon fabric, notable for its water-repellent properties.",Crafted from rainwear; Hood with rainwear lining; Zipper and snap button closure; Pockets with snap button closure; Waist with grosgrain drawstring fastening; Adjustable cuffs; Felt logo; ,"$1,350.00",Black,https://moncler-cdn.thron.com/delivery/public/image/moncler/J10931C00018539YH999_X/dpx6uv/std/0x0/J10931C00018539YH999_X.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10931C00018539YH999_F/dpx6uv/std/0x0/J10931C00018539YH999_F.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10931C00018539YH999_R/dpx6uv/std/0x0/J10931C00018539YH999_R.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10931C00018539YH999_E/dpx6uv/std/0x0/J10931C00018539YH999_E.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10931C00018539YH999_D/dpx6uv/std/0x0/J10931C00018539YH999_D.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10931C00018539YH999_A/dpx6uv/std/0x0/J10931C00018539YH999_A.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10931C00018539YH999_B/dpx6uv/std/0x0/J10931C00018539YH999_B.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10931C00018539YH999_G/dpx6uv/std/0x0/J10931C00018539YH999_G.jpg,/en-us/women/outerwear/windbreakers-and-raincoats/hiengu-rain-coat-black-J10931C00018539YH999.html,Hiengu Rain Coat
I20931C00021539ZD,I20931C00021539ZD999,outerwear,cont,women,long coat/car coat,Avocette Long Down Jacket,"Sporty and elegant, the Avocette down coat encapsulates the Moncler woman's aesthetic. Water-repellent nylon technique provides protection, while longue saison lining adds lightness to the long puffer jacket. An adjustable hood and zipped pockets enhance practicality.",Crafted from nylon technique; Longue saison lining; Down-filled; Adjustable hood; Zipper closure; Zipped pockets; Logo patch; ,"$2,460.00",Black,https://moncler-cdn.thron.com/delivery/public/image/moncler/I20931C00021539ZD999_X/dpx6uv/std/0x0/I20931C00021539ZD999_X.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/I20931C00021539ZD999_F/dpx6uv/std/0x0/I20931C00021539ZD999_F.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/I20931C00021539ZD999_R/dpx6uv/std/0x0/I20931C00021539ZD999_R.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/I20931C00021539ZD999_E/dpx6uv/std/0x0/I20931C00021539ZD999_E.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/I20931C00021539ZD999_D/dpx6uv/std/0x0/I20931C00021539ZD999_D.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/I20931C00021539ZD999_A/dpx6uv/std/0x0/I20931C00021539ZD999_A.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/I20931C00021539ZD999_B/dpx6uv/std/0x0/I20931C00021539ZD999_B.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/I20931C00021539ZD999_G/dpx6uv/std/0x0/I20931C00021539ZD999_G.jpg,/en-us/women/outerwear/long-down-jackets/avocette-long-down-jacket-black-I20931C00021539ZD999.html,Avocette
J10918A0002189A16,J10918A0002189A1677X,cut & sewn,ss24,men,short sleeve polos,Logo Patch Polo Shirt,"A wardrobe staple, this cotton piquet polo shirt is a timeless and versatile design. The classic style is finished with a tricolor trim along the collar and a logo patch on the chest.",Crafted from cotton piquet; Knit collar and cuffs; Mother-of-pearl button closure; Short sleeves; Tricolor trim; ,$385.00,Dark Blue,https://moncler-cdn.thron.com/delivery/public/image/moncler/J10918A0002189A1677X_X/dpx6uv/std/0x0/J10918A0002189A1677X_X.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10918A0002189A1677X_F/dpx6uv/std/0x0/J10918A0002189A1677X_F.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10918A0002189A1677X_R/dpx6uv/std/0x0/J10918A0002189A1677X_R.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10918A0002189A1677X_E/dpx6uv/std/0x0/J10918A0002189A1677X_E.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10918A0002189A1677X_D/dpx6uv/std/0x0/J10918A0002189A1677X_D.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10918A0002189A1677X_A/dpx6uv/std/0x0/J10918A0002189A1677X_A.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10918A0002189A1677X_B/dpx6uv/std/0x0/J10918A0002189A1677X_B.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10918A0002189A1677X_G/dpx6uv/std/0x0/J10918A0002189A1677X_G.jpg,/en-us/men/ready-to-wear/polos-and-t-shirts/logo-patch-polo-shirt-dark-blue-J10918A0002189A1677X.html,Logo Patch Polo Shirt
J10918A0002189A16,J10918A0002189A16002,cut & sewn,ss24,men,short sleeve polos,Logo Patch Polo Shirt,"A wardrobe staple, this cotton piquet polo shirt is a timeless and versatile design. The classic style is finished with a tricolor trim along the collar and a logo patch on the chest.",Crafted from cotton piquet; Knit collar and cuffs; Mother-of-pearl button closure; Short sleeves; Tricolor trim; ,$385.00,Optical White,https://moncler-cdn.thron.com/delivery/public/image/moncler/J10918A0002189A16002_X/dpx6uv/std/0x0/J10918A0002189A16002_X.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10918A0002189A16002_F/dpx6uv/std/0x0/J10918A0002189A16002_F.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10918A0002189A16002_R/dpx6uv/std/0x0/J10918A0002189A16002_R.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10918A0002189A16002_E/dpx6uv/std/0x0/J10918A0002189A16002_E.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10918A0002189A16002_D/dpx6uv/std/0x0/J10918A0002189A16002_D.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10918A0002189A16002_A/dpx6uv/std/0x0/J10918A0002189A16002_A.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10918A0002189A16002_B/dpx6uv/std/0x0/J10918A0002189A16002_B.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/J10918A0002189A16002_G/dpx6uv/std/0x0/J10918A0002189A16002_G.jpg,/en-us/men/ready-to-wear/polos-and-t-shirts/logo-patch-polo-shirt-optical-white-J10918A0002189A16002.html,Logo Patch Polo Shirt
H209Z1A00001M2904,H209Z1A00001M2904999,outerwear,fw22,men,jackets,Vion Short Down Jacket,"A Moncler classic for men, the Vion down jacket is crafted from iconic nylon laquè. Featuring a hooded silhouette with horizontal boudin-quilting, the short puffer becomes a unique design through our personalization service.

You can customize the piece by choosing from one of four distinct color palettes. You can pick from a monogram or your initials to embellish the chest or the arm pocket, while a personalized message can be added to the back.","Crafted from nylon laquè; Nylon laquè lining; Down-filled; Detachable hood, adjustable with drawstring fastening; Zipper closure; Zipped pockets and patch pocket on arm; Internal zipped pockets; Adjustable cuffs and hem; ","$2,400.00",Multicolour,https://moncler-cdn.thron.com/delivery/public/image/moncler/H209Z1A00001M2904999_X/dpx6uv/std/0x0/H209Z1A00001M2904999_X.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/H209Z1A00001M2904999_F/dpx6uv/std/0x0/H209Z1A00001M2904999_F.jpg; https://moncler-cdn.thron.com/delivery/public/image/moncler/H209Z1A00001M2904999_R/dpx6uv/std/0x0/H209Z1A00001M2904999_R.jpg,/en-us/men/outerwear/short-down-jackets/vion-short-down-jacket-multicolour-H209Z1A00001M2904999.html,Vion
